asset_id,employee_id,asset_type,asset_name,serial_number,assigned_date,status
AST0001,EMP001,Laptop,Dell Latitude 5450,BO-LAP-0001,2021-06-18,Active
AST0002,EMP002,Laptop,Dell Latitude 5450,BO-LAP-0002,2021-06-18,Active
AST0003,EMP003,Laptop,Dell Latitude 5450,BO-LAP-0003,2021-06-18,Active
AST0004,EMP004,Laptop,Dell Latitude 5450,BO-LAP-0004,2021-06-18,Active
AST0005,EMP005,Laptop,Dell Latitude 5450,BO-LAP-0005,2021-06-18,Active
AST0006,EMP005,Monitor,Dell 24-inch Monitor,BO-MON-0006,2021-06-18,Active
AST0007,EMP006,Laptop,Dell Latitude 5450,BO-LAP-0007,2021-06-18,Active
AST0008,EMP007,Laptop,Dell Latitude 5450,BO-LAP-0008,2021-06-18,Active
AST0009,EMP007,Headset,Jabra Evolve2 40,BO-HST-0009,2021-06-18,Active
AST0010,EMP008,Laptop,Dell Latitude 5450,BO-LAP-0010,2021-06-18,Active
AST0011,EMP009,Laptop,Dell Latitude 5450,BO-LAP-0011,2021-06-18,Active
AST0012,EMP010,Laptop,Dell Latitude 5450,BO-LAP-0012,2022-11-07,Active
AST0013,EMP010,Monitor,Dell 24-inch Monitor,BO-MON-0013,2022-11-07,Active
AST0014,EMP011,Laptop,Dell Latitude 5450,BO-LAP-0014,2023-12-10,Active
AST0015,EMP012,Laptop,Dell Latitude 5450,BO-LAP-0015,2024-01-13,Active
AST0016,EMP013,Laptop,Dell Latitude 5450,BO-LAP-0016,2025-02-16,Active
AST0017,EMP014,Laptop,Dell Latitude 5450,BO-LAP-0017,2026-03-19,Active
AST0018,EMP014,Headset,Jabra Evolve2 40,BO-HST-0018,2026-03-19,Active
AST0019,EMP015,Laptop,Dell Latitude 5450,BO-LAP-0019,2022-04-22,Active
AST0020,EMP015,Monitor,Dell 24-inch Monitor,BO-MON-0020,2022-04-22,Active
AST0021,EMP016,Laptop,Dell Latitude 5450,BO-LAP-0021,2023-05-25,Active
AST0022,EMP017,Laptop,Dell Latitude 5450,BO-LAP-0022,2024-06-28,Active
AST0023,EMP018,Laptop,Dell Latitude 5450,BO-LAP-0023,2025-07-04,Active
AST0024,EMP019,Laptop,Dell Latitude 5450,BO-LAP-0024,2026-08-07,Active
AST0025,EMP020,Laptop,Dell Latitude 5450,BO-LAP-0025,2022-09-10,Active
AST0026,EMP020,Monitor,Dell 24-inch Monitor,BO-MON-0026,2022-09-10,Active
AST0027,EMP021,Laptop,Dell Latitude 5450,BO-LAP-0027,2023-10-13,Active
AST0028,EMP021,Headset,Jabra Evolve2 40,BO-HST-0028,2023-10-13,Active
AST0029,EMP022,Laptop,Dell Latitude 5450,BO-LAP-0029,2024-11-16,Active
AST0030,EMP023,Laptop,Dell Latitude 5450,BO-LAP-0030,2025-12-19,Active
AST0031,EMP024,Laptop,Dell Latitude 5450,BO-LAP-0031,2026-01-22,Active
AST0032,EMP025,Laptop,Dell Latitude 5450,BO-LAP-0032,2022-02-25,Active
AST0033,EMP025,Monitor,Dell 24-inch Monitor,BO-MON-0033,2022-02-25,Active
AST0034,EMP026,Laptop,Dell Latitude 5450,BO-LAP-0034,2023-03-28,Active
AST0035,EMP027,Laptop,Dell Latitude 5450,BO-LAP-0035,2024-04-04,Active
AST0036,EMP028,Laptop,Dell Latitude 5450,BO-LAP-0036,2025-05-07,Active
AST0037,EMP028,Headset,Jabra Evolve2 40,BO-HST-0037,2025-05-07,Active
AST0038,EMP029,Laptop,Dell Latitude 5450,BO-LAP-0038,2026-06-10,Active
AST0039,EMP030,Laptop,Dell Latitude 5450,BO-LAP-0039,2022-07-13,Active
AST0040,EMP030,Monitor,Dell 24-inch Monitor,BO-MON-0040,2022-07-13,Active
AST0041,EMP031,Laptop,Dell Latitude 5450,BO-LAP-0041,2023-08-16,Active
AST0042,EMP032,Laptop,Dell Latitude 5450,BO-LAP-0042,2024-09-19,Active
AST0043,EMP033,Laptop,Dell Latitude 5450,BO-LAP-0043,2025-10-22,Active
AST0044,EMP034,Laptop,Dell Latitude 5450,BO-LAP-0044,2026-11-25,Active
AST0045,EMP035,Laptop,Dell Latitude 5450,BO-LAP-0045,2022-12-28,Active
AST0046,EMP035,Monitor,Dell 24-inch Monitor,BO-MON-0046,2022-12-28,Active
AST0047,EMP035,Headset,Jabra Evolve2 40,BO-HST-0047,2022-12-28,Active
AST0048,EMP036,Laptop,Dell Latitude 5450,BO-LAP-0048,2023-01-04,Active
AST0049,EMP037,Laptop,Dell Latitude 5450,BO-LAP-0049,2024-02-07,Active
AST0050,EMP038,Laptop,Dell Latitude 5450,BO-LAP-0050,2025-03-10,Active
