expense_id,employee_id,expense_date,category,description,amount,status
EXP0001,EMP010,2026-07-21,Meals,Business trip meals,850,Approved
EXP0002,EMP010,2026-07-28,Local Transport,Taxi for client/business meeting,1100,Rejected
EXP0003,EMP010,2026-08-04,Mileage,Approved personal vehicle mileage,480,Pending
EXP0004,EMP010,2026-08-11,Conference,Approved business conference fee,9000,Approved
EXP0005,EMP010,2026-08-18,Hotel,Domestic business hotel accommodation,5000,Rejected
EXP0006,EMP011,2026-07-23,Local Transport,Taxi for client/business meeting,300,Rejected
EXP0007,EMP011,2026-07-30,Mileage,Approved personal vehicle mileage,720,Pending
EXP0008,EMP011,2026-08-06,Conference,Approved business conference fee,6500,Approved
EXP0009,EMP011,2026-08-13,Hotel,Domestic business hotel accommodation,4500,Rejected
EXP0010,EMP011,2026-08-20,Flight,Domestic economy flight for business travel,3800,Pending
EXP0011,EMP011,2026-08-27,Train,AC train ticket for business travel,2200,Approved
EXP0012,EMP012,2026-07-25,Mileage,Approved personal vehicle mileage,960,Pending
EXP0013,EMP012,2026-08-01,Conference,Approved business conference fee,2500,Approved
EXP0014,EMP012,2026-08-08,Hotel,Domestic business hotel accommodation,4500,Rejected
EXP0015,EMP013,2026-07-27,Conference,Approved business conference fee,2500,Approved
EXP0016,EMP013,2026-08-03,Hotel,Domestic business hotel accommodation,5000,Rejected
EXP0017,EMP013,2026-08-10,Flight,Domestic economy flight for business travel,6800,Pending
EXP0018,EMP013,2026-08-17,Train,AC train ticket for business travel,2200,Approved
EXP0019,EMP014,2026-07-29,Hotel,Domestic business hotel accommodation,6200,Rejected
EXP0020,EMP014,2026-08-05,Flight,Domestic economy flight for business travel,7500,Pending
EXP0021,EMP014,2026-08-12,Train,AC train ticket for business travel,1400,Approved
EXP0022,EMP014,2026-08-19,Meals,Business trip meals,650,Rejected
EXP0023,EMP014,2026-08-26,Local Transport,Taxi for client/business meeting,800,Pending
EXP0024,EMP015,2026-07-31,Flight,Domestic economy flight for business travel,7500,Pending
EXP0025,EMP015,2026-08-07,Train,AC train ticket for business travel,3200,Approved
EXP0026,EMP015,2026-08-14,Meals,Business trip meals,850,Rejected
EXP0027,EMP015,2026-08-21,Local Transport,Taxi for client/business meeting,300,Pending
EXP0028,EMP015,2026-08-28,Mileage,Approved personal vehicle mileage,480,Approved
EXP0029,EMP015,2026-07-06,Conference,Approved business conference fee,2500,Rejected
EXP0030,EMP016,2026-08-02,Train,AC train ticket for business travel,2200,Approved
EXP0031,EMP016,2026-08-09,Meals,Business trip meals,1000,Rejected
EXP0032,EMP016,2026-08-16,Local Transport,Taxi for client/business meeting,550,Pending
EXP0033,EMP017,2026-08-04,Meals,Business trip meals,850,Rejected
