employee_id,casual_leave,earned_leave,sick_leave
EMP001,1,14,8
EMP002,5,8,11
EMP003,1,13,2
EMP004,1,10,12
EMP005,9,14,9
EMP006,10,9,1
EMP007,10,8,6
EMP008,4,3,12
EMP009,10,12,5
EMP010,8,12,5
EMP011,3,16,7
EMP012,7,16,0
EMP013,11,15,3
EMP014,8,3,9
EMP015,9,6,0
EMP016,12,8,11
EMP017,8,14,9
EMP018,2,6,6
EMP019,6,0,7
EMP020,2,14,8
EMP021,11,14,4
EMP022,12,7,4
EMP023,11,7,0
EMP024,6,15,2
EMP025,6,2,8
EMP026,6,6,2
EMP027,7,12,12
EMP028,5,3,10
EMP029,8,13,1
EMP030,4,14,10
EMP031,5,15,10
EMP032,5,17,3
EMP033,3,12,8
EMP034,1,15,2
EMP035,10,0,10
EMP036,10,14,8
EMP037,6,13,3
EMP038,10,10,5
EMP039,6,10,0
EMP040,1,4,1
EMP041,5,12,8
EMP042,6,16,7
EMP043,1,14,7
EMP044,8,10,7
EMP045,1,10,10
EMP046,3,11,0
EMP047,4,8,12
EMP048,2,5,5
EMP049,12,16,0
EMP050,3,15,0
EMP051,11,5,11
EMP052,3,8,8
EMP053,1,10,6
EMP054,10,18,8
EMP055,5,7,5
EMP056,10,6,2
EMP057,4,0,1
EMP058,1,14,9
EMP059,9,8,9
EMP060,2,17,6
EMP061,12,2,6
EMP062,9,9,5
EMP063,2,7,3
EMP064,3,12,8
EMP065,7,6,12
EMP066,1,6,1
EMP067,4,18,4
EMP068,11,9,9
EMP069,5,5,9
EMP070,12,5,10
EMP071,3,13,10
EMP072,5,14,3
EMP073,1,1,5
EMP074,11,2,5
EMP075,9,3,9
EMP076,3,15,7
EMP077,7,3,6
EMP078,11,0,9
EMP079,6,13,8
EMP080,5,5,8
EMP081,1,11,1
EMP082,8,11,1
EMP083,9,7,10
EMP084,0,3,6
EMP085,2,6,8
EMP086,1,12,1
EMP087,2,11,10
EMP088,2,5,12
EMP089,12,11,5
EMP090,4,11,7
EMP091,3,0,1
EMP092,12,7,6
EMP093,6,14,0
EMP094,1,5,6
EMP095,8,9,5
EMP096,12,3,7
EMP097,7,8,10
EMP098,3,18,4
EMP099,7,9,11
EMP100,0,0,0
